English Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Pali,Sanskrit,Synonyms
Lightness,lightness,66634eed9601e559555f45f7,653aca94fee370592ef53f08,66635920bdf04ada700ab8fd,false,false,Fri Jun 07 2024 19:01:52 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:52 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Lahutā,Lāghava,
Loving-Kindness,loving-kindness,66634eed9601e559555f45f7,653aca94fee370592ef53f08,666359202f4519ccb24a5ea3,false,false,Fri Jun 07 2024 19:01:52 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:52 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Mettā,Maitrī,
Luminous Mind,luminous-mind,66634eed9601e559555f45f7,653aca94fee370592ef53f08,6663592accbf3b3b557c07d8,false,false,Fri Jun 07 2024 19:02:02 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:02 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Pabhassara Citta,Prabhāsvara Citta,
Malleability,malleability,66634eed9601e559555f45f7,653aca94fee370592ef53f08,66635920724afca0a36e0564,false,false,Fri Jun 07 2024 19:01:52 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:52 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Mudutā,Mṛdutā,
Mental Proliferation,mental-proliferation,66634eed9601e559555f45f7,653aca94fee370592ef53f08,66635925724afca0a36e08a5,false,false,Fri Jun 07 2024 19:01:57 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:57 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Papañca,Prapañca,
Mind,mind,66634eed9601e559555f45f7,653aca94fee370592ef53f08,66635925deb9df87d387b7d6,false,false,Fri Jun 07 2024 19:01:57 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:57 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Citta,Citta,
Mind & Form,mind-form,66634eed9601e559555f45f7,653aca94fee370592ef53f08,666359254a9e25f8d5270165,false,false,Fri Jun 07 2024 19:01:57 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:57 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Nāma-Rūpa,Nāma-Rūpa,
Mind consciousness,mind-consciousness,66634eed9601e559555f45f7,653aca94fee370592ef53f08,66635926ddb0384d2a46fdef,false,false,Fri Jun 07 2024 19:01:58 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:58 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Mano-Viññāṇa,Mano-Vijñāna,
Mindful,mindful,66634eed9601e559555f45f7,653aca94fee370592ef53f08,666359285c82492024e3b5cc,false,false,Fri Jun 07 2024 19:02:00 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:00 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Sati,Smṛti,
Mindfulness,mindfulness,66634eed9601e559555f45f7,653aca94fee370592ef53f08,666359201e3bbb4ff00d76db,false,false,Fri Jun 07 2024 19:01:52 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:52 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Sati,Smṛti,
